"KEY","WELL","ITER","CLASS","p_trend","AIC","BIC","LAG"
"17-D__ITER1","17-D","1","Trend_Summary",NA,NA,NA,NA
"17-D__ITER2","17-D","2","Trend_Summary",NA,NA,NA,NA
"17-D__ITER3","17-D","3","Trend_Summary",NA,NA,NA,NA
"18-S__ITER1","18-S","1","Trend_Summary",NA,NA,NA,NA
"19-M__ITER1","19-M","1","Trend_Summary",NA,NA,NA,NA
"199-D1-1__ITER1","199-D1-1","1","Trend_Summary","0.00559263733134219","INTERP + EVENT","INTERP + EVENT","21"
"199-D11-1__ITER1","199-D11-1","1","Trend_Summary",NA,NA,NA,NA
"199-D11-2__ITER1","199-D11-2","1","Trend_Summary",NA,NA,NA,NA
"199-D11-3__ITER1","199-D11-3","1","Trend_Summary",NA,NA,NA,NA
"199-D2-10__ITER1","199-D2-10","1","Trend_Summary","0.062295532607093","INTERP + EVENT","INTERP + EVENT","28"
"199-D2-11__ITER1","199-D2-11","1","Trend_Summary","0.885103047635319","INTERP + EVENT","INTERP + EVENT","58"
"199-D2-11__ITER2","199-D2-11","2","Trend_Summary","1.72143012067139e-08","INTERP + EVENT","INTERP + EVENT","58"
"199-D2-11__ITER3","199-D2-11","3","Trend_Summary",NA,NA,NA,"58"
"199-D2-12__ITER1","199-D2-12","1","Trend_Summary",NA,NA,NA,NA
"199-D2-12__ITER2","199-D2-12","2","Trend_Summary","0.223404644078907","INTERP + EVENT","INTERP + EVENT","52"
"199-D2-14__ITER1","199-D2-14","1","Trend_Summary","0.00816999757123005","INTERP + EVENT","INTERP + EVENT","48"
"199-D3-2__ITER1","199-D3-2","1","Trend_Summary","7.16855927729299e-07","INTERP + EVENT","INTERP + EVENT","7"
"199-D3-2__ITER2","199-D3-2","2","Trend_Summary","0.00242929675534165","INTERP + EVENT","INTERP + EVENT","7"
"199-D3-5__ITER1","199-D3-5","1","Trend_Summary","0.0193253507261356","INTERP + EVENT","INTERP + EVENT","15"
"199-D3-7__ITER1","199-D3-7","1","Trend_Summary",NA,NA,NA,NA
"199-D4-1__ITER1","199-D4-1","1","Trend_Summary","0.00140757860450214","INTERP + EVENT","INTERP + EVENT","4"
"199-D4-1__ITER2","199-D4-1","2","Trend_Summary","0.00126379094688545","INTERP + EVENT","INTERP + EVENT","4"
"199-D4-101__ITER1","199-D4-101","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","32"
"199-D4-102__ITER1","199-D4-102","1","Trend_Summary","8.34501180602132e-07","INTERP + EVENT","INTERP + EVENT","22"
"199-D4-102__ITER2","199-D4-102","2","Trend_Summary","0.0931975558736839","INTERP + EVENT","INTERP + EVENT","22"
"199-D4-103__ITER1","199-D4-103","1","Trend_Summary","0.135580470242915","INTERP + EVENT","INTERP + EVENT","55"
"199-D4-13__ITER1","199-D4-13","1","Trend_Summary",NA,NA,NA,NA
"199-D4-13__ITER2","199-D4-13","2","Trend_Summary",NA,NA,NA,NA
"199-D4-14__ITER1","199-D4-14","1","Trend_Summary","0.269039949507689","INTERP + EVENT","INTERP + EVENT","21"
"199-D4-14__ITER2","199-D4-14","2","Trend_Summary","2.23796676949162e-05","INTERP + EVENT","INTERP + EVENT","21"
"199-D4-19__ITER1","199-D4-19","1","Trend_Summary",NA,NA,NA,NA
"199-D4-19__ITER2","199-D4-19","2","Trend_Summary","4.98758446958458e-05","INTERP + EVENT","INTERP + EVENT","11"
"199-D4-22__ITER1","199-D4-22","1","Trend_Summary","0.0924775760467332","INTERP + EVENT","INTERP + EVENT","21"
"199-D4-22__ITER2","199-D4-22","2","Trend_Summary","7.45240785748891e-08","INTERP + EVENT","INTERP + EVENT","21"
"199-D4-23__ITER1","199-D4-23","1","Trend_Summary","0.513506743813254","INTERP + EVENT","INTERP + EVENT","1"
"199-D4-23__ITER2","199-D4-23","2","Trend_Summary",NA,NA,NA,NA
"199-D4-27__ITER1","199-D4-27","1","Trend_Summary","2.30847921369737e-05","INTERP + EVENT","INTERP + EVENT","27"
"199-D4-27__ITER2","199-D4-27","2","Trend_Summary","0.254333606129071","INTERP + EVENT","INTERP + EVENT","27"
