"KEY","WELL","ITER","CLASS","IS_S4","FIT_OBJECT_PRESENT","p_trend","COD","AIC","BIC","df","LAG","logLik","sigma","SUM_rows","SUM_cols","beta_intercept","beta_interp","beta_event","p_interp","p_event","se_intercept","se_interp","se_event","FIT_OK","FAIL_REASON"
"17-D__ITER1","17-D",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"17-D__ITER2","17-D",2,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"17-D__ITER3","17-D",3,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"18-S__ITER1","18-S",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"19-M__ITER1","19-M",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"199-D1-1__ITER1","199-D1-1",1,"Trend_Summary",TRUE,TRUE,0.00559263733134219,"0.25587096561206",NA,NA,11,21,NA,NA,4,4,-6.94169361814839,-0.0427006055610162,0.000704504395321499,NA,NA,12.7337327703351,0.0899690558920869,0.000211691144810727,TRUE,NA
"199-D11-1__ITER1","199-D11-1",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"199-D11-2__ITER1","199-D11-2",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"199-D11-3__ITER1","199-D11-3",1,"Trend_Summary",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"199-D2-10__ITER1","199-D2-10",1,"Trend_Summary",TRUE,TRUE,0.062295532607093,"-0.381700762525671",NA,NA,8,28,NA,NA,4,4,40.19687823253,-0.328847546256802,7.69307685148064e-06,NA,NA,17.4997000016312,0.140581280763481,0.000117585102299619,TRUE,NA
