KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,,17-D,1.0,Trend_Summary,,,,,both,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,,17-D,2.0,Trend_Summary,,,,,both,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,,17-D,3.0,Trend_Summary,,,,,both,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,,18-S,1.0,Trend_Summary,,,,,both,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,,19-M,1.0,Trend_Summary,,,,,both,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.06208594821162938,0.009559105129541555,1.0,41.00968481127515,42.42578521347957,-18.504842405637575,15,0,INTERP+EVENT,True,27.598062768595167,-0.22000139068194233,0.0,0.2552709084789823,199-D1-1,1.0,Trend_Summary,0.0055926373313421,INTERP + EVENT,INTERP + EVENT,21.0,both,0.0,0.056493310880287285,,
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,,199-D11-1,1.0,Trend_Summary,,,,,both,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,1.0,,1.0,2.0,2.0794415416798357,-1.577155580844899e-31,8,8,EVENT,True,0.7566817743613705,,0.0,0.013540062476816783,199-D11-2,1.0,Trend_Summary,,,,,both,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,,199-D11-3,1.0,Trend_Summary,,,,,both,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.934860440097817,0.5807286342307434,1.0,37.91980875138897,38.889622050964974,-16.959904375694485,12,0,INTERP+EVENT,True,-6.136862970219896,0.06943371084112822,0.0,0.3025504147619236,199-D2-10,1.0,Trend_Summary,0.062295532607093,INTERP + EVENT,INTERP + EVENT,28.0,both,0.0,0.872564907490724,,
199-D2-11__ITER1,199-D2-11,1,58.0,ULAG,0.4782423108279309,0.22126587269871678,1.0,94.54343013674273,97.47490194234219,-45.271715068371364,32,1,INTERP+EVENT,True,-9.658146369543042,0.09754205481140933,0.0,0.35574035886548755,199-D2-11,1.0,Trend_Summary,0.885103047635319,INTERP + EVENT,INTERP + EVENT,58.0,both,0.0,-0.4068607368073881,,
199-D2-11__ITER2,199-D2-11,2,58.0,ULAG,0.03984591194050424,0.006116199226258067,1.0,48.63631626498056,50.41705978077289,-22.31815813249028,18,0,INTERP+EVENT,True,16.924802861048743,-0.12461420894379371,0.0,0.24905465216713352,199-D2-11,2.0,Trend_Summary,1.72143012067139e-08,INTERP + EVENT,INTERP + EVENT,58.0,both,0.0,0.039845894726203035,,
199-D2-11__ITER3,199-D2-11,3,58.0,ULAG,0.09411170779874678,0.028721652701517615,1.0,56.502026508815405,58.9397781585518,-26.251013254407702,25,12,INTERP+EVENT,True,-80.61396961323258,0.6938499775894801,0.0,0.9600521406073032,199-D2-11,3.0,Trend_Summary,,,,58.0,both,0.0,,,
199-D2-12__ITER1,199-D2-12,1,52.0,ULAG,,,,,,,4,0,INTERP+EVENT,False,,,,,199-D2-12,1.0,Trend_Summary,,,,,both,,,,
199-D2-12__ITER2,199-D2-12,2,52.0,ULAG,0.7838200841325539,0.8350146598635553,1.0,34.72949619151853,35.525286737115266,-15.364748095759264,11,0,INTERP+EVENT,True,-11.657048887598453,0.11465091761671696,0.0,0.24061556941629428,199-D2-12,2.0,Trend_Summary,0.223404644078907,INTERP + EVENT,INTERP + EVENT,52.0,both,0.0,0.5604154400536469,,
199-D2-14__ITER1,199-D2-14,1,48.0,ULAG,0.3590256239401908,0.16120470081040927,1.0,51.15765585184091,52.82408253995334,-23.578827925920454,17,1,INTERP+EVENT,True,81.6671204209084,-0.6794065398083834,0.0,1.2527151908176317,199-D2-14,1.0,Trend_Summary,0.00816999757123,INTERP + EVENT,INTERP + EVENT,48.0,both,0.0,0.3508556263689608,,
199-D3-2__ITER1,199-D3-2,1,7.0,ULAG,0.00014756859708242587,4.60934771121638e-06,1.0,70.69208007092753,73.35648909127794,-33.346040035463766,28,5,INTERP+EVENT,True,91.86974530466838,-0.7630659033289298,0.0,0.6817748600167433,199-D3-2,1.0,Trend_Summary,7.16855927729299e-07,INTERP + EVENT,INTERP + EVENT,7.0,both,0.0,0.00014685174115469657,,
