"KEY","CLASS","p_trend","COD","AIC","BIC","df","LAG","SUM_rows","SUM_cols","coef1"
"17-D","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-S","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"19-M","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D1-1","Trend_Summary",0.00559263733134219,NA,NA,NA,11,21,4,4,-6.94169361814839
"199-D11-1","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D11-2","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D11-3","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D2-10","Trend_Summary",0.062295532607093,NA,NA,NA,8,28,4,4,40.19687823253
"199-D2-11","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-12","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-14","Trend_Summary",0.00816999757123005,NA,NA,NA,13,48,4,4,-82.4848774518426
"199-D3-2","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D3-5","Trend_Summary",0.0193253507261356,NA,NA,NA,23,15,4,4,18.8580867049985
"199-D3-7","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D4-1","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-101","Trend_Summary",0,NA,NA,NA,69,32,4,4,-25.3054062616873
"199-D4-102","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-103","Trend_Summary",0.135580470242915,NA,NA,NA,9,55,4,4,-67.5388451375119
"199-D4-13","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-14","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-19","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-22","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-23","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-27","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-31","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-34","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-38","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-39","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-48","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-50","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-56","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-60","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-68","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-78","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-83","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-84","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-85","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-86","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-95","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-96","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-97","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-98","Trend_Summary",3.70814490224802e-14,NA,NA,NA,188,1,4,4,75.7231429816879
"199-D4-99","Trend_Summary",0.00382923684906089,NA,NA,NA,184,50,4,4,-23.5983185605253
"199-D5-101","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-103","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-104","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-106","Trend_Summary",1.30109151341706e-07,NA,NA,NA,27,55,4,4,2.76659128915805
"199-D5-123","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-125","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-127","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-130","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-131","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-133","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-134","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D5-14","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-141","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D5-142","Trend_Summary",7.18931195686778e-08,NA,NA,NA,29,54,4,4,6.86203094378352
"199-D5-143","Trend_Summary",2.28450591777118e-12,NA,NA,NA,28,77,4,4,-21.1918266137052
"199-D5-145","Trend_Summary",0,NA,NA,NA,64,36,4,4,27.9642001095922
"199-D5-146","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-149","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-15","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-150","Trend_Summary",1.07365616675015e-06,NA,NA,NA,29,44,4,4,8.49021540214768
"199-D5-151","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-152","Trend_Summary",0.002370926659648,NA,NA,NA,34,69,4,4,12.509815514576
"199-D5-153","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-154","Trend_Summary",0,NA,NA,NA,120,20,4,4,8.72374986501128
"199-D5-159","Trend_Summary",0,NA,NA,NA,102,18,4,4,18.9245505369602
"199-D5-16","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-160","Trend_Summary",1.05617400620872e-05,NA,NA,NA,43,56,4,4,38.4792315874803
"199-D5-162","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D5-163","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D5-17","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-32","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-33","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-34","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-36","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-37","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-38","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-39","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-41","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-42","Trend_Summary",NA,NA,NA,NA,NA,NA,1,1,NA
"199-D5-43","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-44","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-92","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D5-97","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D7-3","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D7-7","Trend_Summary",0.00697347723064989,NA,NA,NA,11,10,4,4,-66.3128373903431
"199-D8-101","Trend_Summary",3.0339018852743e-08,NA,NA,NA,26,8,4,4,6.67505251972433
"199-D8-102","Trend_Summary",0.0204765238574894,NA,NA,NA,31,41,4,4,14.4684105169848
"199-D8-4","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-5","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-53","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D8-54A","list",NA,NA,NA,NA,NA,NA,NA,NA,NA
