ID,EASTING,NORTHING,WELL_NAME,WELL_ID,DRILL_DATE,WELL_TYPE,GW_AREA_OF,sspaMAPOU,AQT_GROUPI,sspaMapOU_
272,568082.00000000000,146642.00000000000,15-M,B8156,10/7/1997,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,187,Polygon
282,568480.00300000000,146895.92900000000,17-D,B8161,10/10/1997,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,119,Polygon
283,568480.00300000000,146895.92900000000,17-M,B8162,10/10/1997,AQUIFER TUBE,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,119,Polygon
971,568553.05500000000,146871.09600000000,199-K-1,A5729,3/31/1952,VADOSE WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
972,568912.76300000000,146628.09600000000,199-K-10,A5738,8/6/1952,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
973,568523.84600000000,146667.11000000000,199-K-100,A5807,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
974,568531.31200000000,146683.06700000000,199-K-101,A5808,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
975,568484.07800000000,146607.43700000000,199-K-102,A5809,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
976,568439.12000000000,146638.98100000000,199-K-103,A5810,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
977,568588.97300000000,146534.55100000000,199-K-104,A5811,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
978,568624.58600000000,146592.30600000000,199-K-105,A5812,,BORING,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
979,568697.40000000000,146502.39000000000,199-K-106A,A9842,2/16/1994,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
980,568648.00000000000,146543.00000000000,199-K-106A MIG,,,,,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
981,568579.94000000000,146468.81000000000,199-K-107A,A9843,4/15/1994,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
982,568577.00000000000,146484.00000000000,199-K-107A MIG,,,,,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Control Point
983,568687.20000000000,146396.14000000000,199-K-108A,A9844,4/6/1994,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
986,568938.00200000000,146617.75600000000,199-K-11,A4643,8/9/1952,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
997,568897.00500000000,146659.76100000000,199-K-12,A5739,9/30/1952,VADOSE WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1011,568495.12000000000,146670.82000000000,199-K-132,C4670,9/27/2004,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1016,568653.37000000000,146374.51000000000,199-K-137,C5112,9/13/2006,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1017,568395.22000000000,146616.64000000000,199-K-138,C5113,8/10/2006,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1018,568551.39000000000,146518.39000000000,199-K-139,C5114,8/25/2006,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1019,568493.07000000000,146493.66000000000,199-K-140,C5115,9/1/2006,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1038,568627.45000000000,146164.41000000000,199-K-158,C5484,1/11/2007,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1046,568674.96000000000,146342.42000000000,199-K-165,C6451,8/25/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1047,568594.56000000000,146342.97000000000,199-K-166,C6452,9/10/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1048,568675.81000000000,146267.56000000000,199-K-167,C6453,9/9/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1049,568544.37000000000,146513.63000000000,199-K-168,C6454,7/30/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1054,568674.07000000000,146266.88000000000,199-K-173,C7016,9/18/2008,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
1055,568915.38000000000,146222.47000000000,199-K-174,C7061,2/20/2009,GROUNDWATER WELL,100-KR,100-KW;100-MAX-KW;100-KR-4;100-NR-2;100-MAX-KR-4,0,Polygon
