NAME,TREND,START,END
199-D1-1,1,1/1/2021,
199-D2-11,1,1/1/1994,1/1/2011
199-D2-11,2,1/1/20111,4/1/2014
199-D2-11,3,4/1/2014,
199-D2-12,1,1/1/1994,1/1/2019
199-D2-12,2,1/1/2019,
199-D3-2,1,1/1/1994,1/1/2016
199-D3-2,2,1/1/2016,
199-D4-1,1,1/1/1994,1/1/2016
199-D4-1,2,1/1/2016,
199-D4-95,1,1/1/1994,1/1/2015
199-D4-95,2,1/1/2015,12/31/2020
199-D4-95,3,1/1/2021,
199-D4-96,1,1/1/1994,1/1/2019
199-D4-96,2,1/1/2019,
199-D4-97,1,1/1/2010,12/31/2019
199-D4-97,2,1/1/2020,
199-D4-13,1,1/1/2008,12/31/2018
199-D4-13,2,1/1/2019,
199-D4-84,1,1/1/2008,12/31/2010
199-D4-84,2,1/1/2011,6/30/2015
199-D4-84,3,7/1/2015,
199-D4-102,1,1/1/2016,12/31/2019
199-D4-102,2,1/1/2019,
199-D5-101,1,1/1/2010,12/31/2021
199-D5-101,2,1/1/2022,
199-D5-103,1,1/1/1994,1/1/2011
199-D5-103,2,1/1/2011,7/1/2014
199-D5-103,3,7/1/2014,10/1/2016
199-D5-103,4,10/1/2016,
199-D5-13,1,1/1/1994,1/1/2011
199-D5-13,2,1/1/2011,1/1/2012
199-D5-13,3,1/1/2012,
199-D5-14,1,1/1/2010,12/31/2018
199-D5-14,2,1/1/2019,
199-D5-127,1,1/1/1994,1/1/2017
199-D5-127,2,1/1/2017,
199-D5-130,1,1/1/2010,12/31/2018
199-D5-130,2,1/1/2019,
199-D5-131,1,1/1/2010,12/31/2018
199-D5-131,2,1/1/2019,
199-D5-133,1,1/1/2011,12/31/2019
199-D5-133,2,1/1/2020,
199-D5-146,1,1/1/1994,5/1/2016
199-D5-146,2,5/1/2016,12/31/2021
199-D5-146,3,1/1/2022,
199-D5-149,1,5/1/2016,12/31/2022
199-D5-149,2,1/1/2023,
199-D5-151,1,1/1/2016,12/31/2021
199-D5-151,2,1/1/2022,
199-D5-153,1,1/1/1994,10/1/2014
199-D5-153,2,10/1/2014,
199-D5-34,1,1/1/1994,1/1/2011
199-D5-34,2,1/1/2011,4/1/2015
199-D5-34,3,4/1/2015,12/31/2020
199-D5-34,4,1/1/2021,
199-D5-39,1,1/1/1994,1/1/2011
199-D5-39,2,1/1/2011,6/1/2011
199-D5-39,3,6/1/2011,6/1/2019
199-D5-39,4,6/1/2019,
199-D5-92,1,1/1/1994,1/1/2011
199-D5-92,2,1/1/2011,6/1/2011
199-D5-92,3,6/1/2011,
199-D7-3,1,1/1/2010,2/15/2015
199-D7-3,2,1/1/2015,
199-D8-70,2,1/1/2011,12/31/2017
199-D8-70,3,1/1/2018,
199-D8-73,3,1/1/2016,
199-D8-88,2,1/1/2011,12/31/2015
199-D8-88,3,1/1/2016,
199-D8-90,1,1/1/2011,12/31/2015
199-D8-90,2,1/1/2016,
199-D8-91,1,1/1/2011,12/31/2015
199-D8-91,2,1/1/2016,
199-H1-45,3,5/1/2015,
199-H2-1,1,1/1/1994,1/1/2016
199-H2-1,2,1/1/2016,
199-H3-5,1,1/1/1994,8/1/2011
199-H3-5,2,8/1/2011,6/1/2014
199-H3-5,3,6/1/2014,1/1/2016
199-H3-5,4,1/1/2016,
199-H3-6,1,1/1/1994,8/1/2017
199-H3-6,2,8/1/2017,
199-H3-9,1,1/1/2012,12/31/2019
199-H3-9,2,1/1/2020,
199-H3-32,1,1/1/1994,1/1/2020
199-H3-32,2,1/1/2020,
199-H4-13,1,1/1/2008,
199-H4-15CS,1,1/1/1994,1/1/2012
199-H4-15CS,2,1/1/2012, 1/1/2015
199-H4-15CS,3,1/1/2015,
199-H4-69,1,1/1/1994,6/1/2020
199-H4-69,2,6/1/2020,
199-H4-70,1,1/1/1994,3/1/2017
199-H4-70,2,3/1/2017,
199-H4-75,1,1/1/1994,
199-H4-76,1,1/1/1994,
199-H4-77,1,1/1/1994,
199-H4-83,1,1/1/1994,1/1/2017
199-H4-83,2,1/1/2017,1/1/2021
199-H4-83,3,1/1/2021,
199-H4-83,1,1/1/1994,1/1/2019
