KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type,fit_ok,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,LAG_r,p_trend_r,AIC_r,BIC_r,logLik_r,beta_intercept_r,beta_interp_r,beta_event_r,p_interp_r,p_event_r,n_obs_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,,17-D,1.0,,,,,,,,,,,,both,,,,,,,,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,,17-D,2.0,,,,,,,,,,,,both,,,,,,,,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,,17-D,3.0,,,,,,,,,,,,both,,,,,,,,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.0047147606053906665,0.44825047341626734,0.013179338865976822,35.854041721805096,37.27014212400952,-15.927020860902548,15,0,INTERP+EVENT,True,6.613802131739933,-0.07085076328002363,0.000622081817321476,0.21496400614443198,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,,,,,,,8,8,EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.4330002852703514,0.41860206634371455,0.20105535263456686,36.380491012598384,37.35030431217439,-16.190245506299192,12,0,INTERP+EVENT,True,-16.540038537830476,0.1513592434394181,0.00016795323496087596,0.2837545717084453,,,,,,,,,,,,,,left_only,,,,,,,,,,,
