KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type_py,fit_ok_py,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG_r,p_trend_r,df,AIC_r,BIC_r,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik_r,n_obs_r,beta_intercept_r,beta_interp_r,beta_event_r,beta_logSigma,p_interp_r,p_event_r,SUM_rows,SUM_cols,model_type_r,fit_ok_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
17-D__ITER1,17-D,1,,NONE,,,,,,,9,5,INTERP+EVENT,False,,,,,17-D,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
17-D__ITER2,17-D,2,,NONE,,,,,,,5,2,INTERP+EVENT,False,,,,,17-D,2.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
17-D__ITER3,17-D,3,,NONE,,,,,,,8,5,INTERP+EVENT,False,,,,,17-D,3.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
18-S__ITER1,18-S,1,,NONE,,,,,,,12,11,INTERP+EVENT,False,,,,,18-S,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
19-M__ITER1,19-M,1,,NONE,,,,,,,16,16,INTERP+EVENT,False,,,,,19-M,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D1-1__ITER1,199-D1-1,1,21.0,ULAG,0.005592637331342187,0.6365222361711605,0.0008778319610699997,36.19554737902105,37.61164778122547,-16.097773689510525,15,0,INTERP+EVENT,True,2.8509175741163313,-0.04270060620197802,0.0007045043911130462,0.21742503542855895,199-D1-1,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,21.0,0.0055926373313421,11.0,35.1606543067168,36.5767547089212,0.411392336192059,33.384238445634,41.4548244412761,43.5332629238359,34.0922886467362,42.1628746423783,44.2413131249381,,,-6.94169361814839,-0.0427006055610162,0.0007045043953214,-1.52590117512325,0.635061871595485,0.0008747740586305,4.0,4.0,INTERP+EVENT,True,both,0.0,8.760353553682876e-17,1.03489307230425,1.0348930723042713,,9.792611192264722,-6.409618183433885e-10,-4.208353717588542e-12,0.0014603645756755546,3.057902439499642e-06,
199-D11-1__ITER1,199-D11-1,1,0.0,NONE,,,,,,,12,10,EVENT,False,,,,,199-D11-1,1.0,Trend_Summary,Tobit,log(VAL) ~ EVENT,EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D11-2__ITER1,199-D11-2,1,0.0,NONE,,,,,,,8,8,EVENT,False,,,,,199-D11-2,1.0,Trend_Summary,Tobit,log(VAL) ~ EVENT,EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D11-3__ITER1,199-D11-3,1,1.0,ULAG,,,,,,,9,9,INTERP+EVENT,False,,,,,199-D11-3,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,1.0,1.0,SUM_ROWS_1,False,both,,,,,,,,,,,
199-D2-10__ITER1,199-D2-10,1,28.0,ULAG,0.5438729613951419,0.676426753487801,0.4443769825432271,36.83644562442215,37.80625892399815,-16.418222812211074,12,0,INTERP+EVENT,True,8.687737961022581,-0.06179664497257985,0.00010657916658733987,0.2891969183251566,199-D2-10,1.0,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,28.0,0.062295532607093,8.0,31.4586571460143,32.4284704455902,0.36866749950314,33.9668698355581,29.4629368929734,35.0103882730366,34.4517764853461,29.9478435427614,35.4952949228246,,,40.19687823253,-0.328847546256802,7.69307685148064e-06,-1.42121630579802,0.0193251534283714,0.94783513523702,4.0,4.0,INTERP+EVENT,True,both,0.0,0.4815774287880489,5.377788478407847,5.37778847840795,,-31.509140271507416,0.26705090128422215,9.888608973585922e-05,0.6571016000594296,-0.5034581526937929,
