NAME,XCOORDS,YCOORDS,OU,SYSTEM
17-D,568480,146895.9,100-KR-4,NA
18-S,568712.6,147064.3,100-KR-4,KX_KW_KR4
19-D,569032.1,147394.8,100-KR-4,KX_KW_KR4
19-M,569031.9,147394.2,100-KR-4,KX_KW_KR4
199-K-106A,568697.4,146502.4,100-KR-4,KX_KW_KR4
199-K-107A,568579.9,146468.8,100-KR-4,KX_KW_KR4
199-K-108A,568687.2,146396.1,100-KR-4,KX_KW_KR4
199-K-11,568938,146617.8,100-KR-4,KX_KW_KR4
199-K-110A,569230,146677.9,100-KR-4,KX_KW_KR4
199-K-111A,569308.2,146968.9,100-KR-4,KX_KW_KR4
199-K-112A,570278.6,148503.4,100-KR-4,KX_KW_KR4
199-K-113A,570098.1,148294.5,100-KR-4,KX_KW_KR4
199-K-114A,570020.3,148280.5,100-KR-4,KX_KW_KR4
199-K-115A,569940,148135.4,100-KR-4,KX_KW_KR4
199-K-116A,569871.1,147960.5,100-KR-4,KX_KW_KR4
199-K-117A,569702.6,147977,100-KR-4,KX_KW_KR4
199-K-118A,569703.1,147865.9,100-KR-4,KX_KW_KR4
199-K-119A,569661.8,147649.7,100-KR-4,KX_KW_KR4
199-K-120A,569399.6,147518.5,100-KR-4,KX_KW_KR4
199-K-124A,569867.9,146991.7,100-KR-4,KX_KW_KR4
199-K-125A,569712.9,147866,100-KR-4,KX_KW_KR4
199-K-126,570574.7,148509.6,100-KR-4,KX_KW_KR4
199-K-127,569539.2,147539,100-KR-4,KX_KW_KR4
199-K-129,570283.7,148503.1,100-KR-4,KX_KW_KR4
199-K-13,569037.7,146682.1,100-KR-4,KX_KW_KR4
199-K-130,570479,148661.2,100-KR-4,KX_KW_KR4
199-K-131,570662,148903.9,100-KR-4,KX_KW_KR4
199-K-132,568495.1,146670.8,100-KR-4,KX_KW_KR4
199-K-133,570560.1,148536.3,100-KR-4,KX_KW_KR4
199-K-134,570600.1,148525.3,100-KR-4,KX_KW_KR4
199-K-135,570589.3,148484.1,100-KR-4,KX_KW_KR4
199-K-136,570549,148495,100-KR-4,KX_KW_KR4
199-K-137,568653.4,146374.5,100-KR-4,KX_KW_KR4
199-K-138,568395.2,146616.6,100-KR-4,KX_KW_KR4
199-K-139,568551.4,146518.4,100-KR-4,KX_KW_KR4
199-K-140,568493.1,146493.7,100-KR-4,KX_KW_KR4
199-K-141,569024.2,146818.5,100-KR-4,KX_KW_KR4
199-K-142,569104.3,146870.9,100-KR-4,KX_KW_KR4
199-K-143,570934.4,148088.3,100-KR-4,KX_KW_KR4
199-K-144,569163.3,147266,100-KR-4,KX_KW_KR4
199-K-145,569284.6,147425.7,100-KR-4,KX_KW_KR4
199-K-146,570197.6,148379.8,100-KR-4,KX_KW_KR4
199-K-147,570411.6,148558.1,100-KR-4,KX_KW_KR4
199-K-148,570584.7,148767.9,100-KR-4,KX_KW_KR4
199-K-149,570778.2,148970.7,100-NR-2,KX_KW_KR4
199-K-150,570787.7,149051.9,100-NR-2,KX_KW_KR4
199-K-151,570941.3,148686.4,100-NR-2,KX_KW_KR4
199-K-152,570736.2,148585.9,100-KR-4,KX_KW_KR4
199-K-153,570530,148210.1,100-KR-4,KX_KW_KR4
199-K-154,570321.1,148027,100-KR-4,KX_KW_KR4
199-K-156,569674,147270.9,100-KR-4,KX_KW_KR4
199-K-157,569432.2,147167.9,100-KR-4,KX_KW_KR4
199-K-161,570004.6,148202.3,100-KR-4,KX_KW_KR4
199-K-162,569340,147460,100-KR-4,KX_KW_KR4
199-K-163,570230.7,147947.9,100-KR-4,KX_KW_KR4
199-K-165,568675,146342.4,100-KR-4,KX_KW_KR4
