"NAME","TOP","BOT"
"199-B2-12",155.098,152.05
"199-B2-13",123.30388,116.8726
"199-B2-14",121.526928,113.906928
"199-B2-15",85.951152,82.887912
"199-B2-16",99.212112,88.541064
"199-B3-46",121.19888,114.7676
"199-B3-47",122.23812,115.80684
"199-B3-50",121.933888,115.837888
"199-B3-51",91.709376,88.65528
"199-B3-52",121.704,117.135048
"199-B4-14",122.82428,116.725232
"199-B4-15",122.884424,119.242064
"199-B4-16",122.9898,116.8938
"199-B4-18",95.62136,88.00136
"199-B4-19",93.633656,90.582608
"199-B4-20",107.668752,104.620752
"199-B4-5",123.76104,117.46692
"199-B4-6",123.725136,117.702288
"199-B4-7",123.945824,117.651704
"199-B4-8",127.78644,118.30716
"199-B5-10",122.552,116.456
"199-B5-11",92.1714,86.04492
"199-B5-12",122.8232,116.7272
"199-B5-13",95.30948,87.68948
"199-B5-14",122.358112,116.277352
"199-B5-2",123.3398,117.2438
"199-B5-5",99.102128,79.28708
"199-B5-6",94.70648,87.056
"199-B5-8",123.1452,117.046152
"199-B5-9",96.21276,88.59276
"199-B8-6",124.08324,117.98724
"199-B8-7",122.6004,116.5044
"199-B8-8",122.203976,116.08664
"199-B8-9",123.527568,117.431568
"199-B9-2",124.17808,118.08208
"199-B9-3",123.19536,118.31856
"199-D1-1",119.833552,110.695648
"199-D11-1",109.613176,108.058696
"199-D11-2",104.21664,99.601968
"199-D11-3",115.615952,114.061472
"199-D2-10",117.288624,112.716624
"199-D2-11",119.045664,109.89252
"199-D2-12",116.962168,112.390168
"199-D2-14",118.962296,111.333152
"199-D2-6",119.76844,113.33716
"199-D2-8",120.10492,114.015016
"199-D3-2",117.82092,111.72492
"199-D3-3",118.196208,109.134504
"199-D3-4",118.16696,109.035152
"199-D3-5",121.55876,112.41476
"199-D3-7",121.407896,112.2578
"199-D4-1",120.49368,114.391584
"199-D4-10",118.722768,114.16296
"199-D4-101",118.85524,112.756192
"199-D4-102",114.170808,112.646808
"199-D4-103",119.297096,113.195
"199-D4-11",118.928992,114.36004
"199-D4-12",118.669944,114.10404
"199-D4-13",121.05736,114.96136
"199-D4-14",120.277816,114.169624
"199-D4-15",119.993328,113.897328
"199-D4-16",115.057216,114.301312
"199-D4-17",114.830528,114.071576
"199-D4-18",114.779952,114.021
"199-D4-19",119.669736,110.525736
"199-D4-2",115.20648,113.688576
"199-D4-20",118.92816,112.823016
"199-D4-21",118.622872,114.056968
"199-D4-22",119.9548,113.8588
"199-D4-23",120.79436,114.69836
"199-D4-24",118.802808,114.22776
"199-D4-25",117.929184,113.344992
"199-D4-26",117.527664,112.943472
"199-D4-27",117.88764,113.309544
"199-D4-28",118.417624,113.839528
"199-D4-29",118.648808,114.07376
"199-D4-3",115.1662,113.648296
"199-D4-30",119.179968,114.598824
"199-D4-31",119.144432,114.569384
