"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"199-B2-12","A4550","GROUNDWATER WELL","IN-USE",54.49824,NA,206.304,145363.94,565368.62,"100-BC-5"
"199-B2-13","A4551","GROUNDWATER WELL","IN-USE",12.192,NA,128.6,145264.56,564086.52,"100-BC-5"
"199-B3-1","A4552","GROUNDWATER WELL","IN-USE",19.2024,NA,134.882,145342.08,565561.455,"100-BC-5"
"199-B3-46","A4553","GROUNDWATER WELL","IN-USE",20.351496,NA,135.632,145369.04,565899.57,"100-BC-5"
"199-B3-47","A4554","GROUNDWATER WELL","IN-USE",18.5928,NA,134.766,145368.95,565388.66,"100-BC-5"
"199-B4-1","A4555","GROUNDWATER WELL","IN-USE",27.432,NA,141.6,144791.53,565289.807,"100-BC-5"
"199-B4-3","A4556","GROUNDWATER WELL","DECOMMISSIONED-V",27.7368,NA,141.758,144771.13,565295.586,"100-BC-5"
"199-B4-4","A4557","GROUNDWATER WELL","IN-USE",32.004,NA,145.365,144479.705,565377.08,"100-BC-5"
"199-B4-6","A4558","GROUNDWATER WELL","CANDIDATE FOR DECOMMISSIONING",29.690568,31.7754,147.923,144382.971,565388.881,"100-BC-5"
"199-B4-8","A4559","GROUNDWATER WELL","IN-USE",27.55392,NA,145.374,144653.79,565578.45,"100-BC-5"
"199-B4-9","A4560","GROUNDWATER WELL","DECOMMISSIONED-V",28.28544,NA,144.723,144563.93,565395.64,"100-BC-5"
"199-B5-1","A4561","GROUNDWATER WELL","IN-USE",46.0248,NA,139.892,144764.899,564878.149,"100-BC-5"
"199-B5-2","A4562","GROUNDWATER WELL","IN-USE",22.86,NA,139.799,144939.695,565405.427,"100-BC-5"
"199-B8-6","A4563","GROUNDWATER WELL","IN-USE",27.18816,NA,145.928,144157.79,564498.83,"100-BC-5"
"199-B9-1","A4564","GROUNDWATER WELL","DECOMMISSIONED-V",35.6616,NA,152.253,144029.687,565501.959,"100-BC-5"
"199-B9-2","A4565","GROUNDWATER WELL","IN-USE",35.9664,NA,152.643,144078.08,565534.79,"100-BC-5"
"199-B9-3","A4566","GROUNDWATER WELL","IN-USE",33.2232,NA,151.313,144046.72,565667.36,"100-BC-5"
"199-D2-5","A4567","GROUNDWATER WELL","DECOMMISSIONED-V",28.956,NA,141.303,151148.184,573812.296,"100-HR-3-D"
"199-D2-6","A4568","GROUNDWATER WELL","IN-USE",34.4424,NA,144.04,151119.86,573000.21,"100-HR-3-D"
"199-D5-12","A4569","GROUNDWATER WELL","DECOMMISSIONED-V",27.7368,NA,144.168,151557.198,573839.615,"100-HR-3-D"
"199-D5-13","A4570","GROUNDWATER WELL","IN-USE",30.48,NA,144.713,151955.183,573535.527,"100-HR-3-D"
"199-D5-14","A4571","GROUNDWATER WELL","IN-USE",30.7848,NA,144.781,151787.99,573789.632,"100-HR-3-D"
"199-D5-15","A4572","GROUNDWATER WELL","IN-USE",31.02864,NA,144.733,151673.75,573738.61,"100-HR-3-D"
"199-D5-16","A4573","GROUNDWATER WELL","IN-USE",30.58668,NA,145.152,151652.51,573917.45,"100-HR-3-D"
