NAME,XCOORDS,YCOORDS,Well Type,Notes,Construction date,Notes
199-D11-1,574429.62,152988.34,Monitoring,,12/17/2020,
199-D11-2,575081.55,153367.05,Monitoring,,8/15/2022,
199-D5-134,573675.32,151862.46,Monitoring,,4/21/2011,
199-D5-141,573243.43,151424.51,Monitoring,,4/27/2011,
199-D7-7,574433.17,152667.9,Monitoring,,11/10/2020,
199-D8-54B,573768.24,152398.65,Monitoring,,2/10/1992,
199-H1-50,576878.89,153481.09,Monitoring,,5/13/2019,
199-H2-1,577752.31,153239.89,Monitoring,,4/25/2011,
199-H3-10,577545.14,152723.52,Monitoring,,5/2/2011,
199-H3-12,577842.32,152838.62,Monitoring,,4/4/2019,
199-H3-13,577950.58,152815.48,Monitoring,,4/4/2019,
199-H3-15,578256.53,152489.19,Monitoring,,7/19/2022,
199-H3-22,577897.07,152847.99,Extraction- HX,,4/2/2019,
199-H3-28,577655.35,152822.58,Extraction- HX,,12/5/2017,
199-H3-29,577921.46,152884.22,Extraction- HX,,11/29/2017,
199-H3-2C,577632.065,152750.302,Extraction- HX,,12/15/1986,
199-H3-30,578100.23,152712.09,Monitoring,,12/4/2017,
199-H3-31,578150.81,152364.01,Monitoring,,9/10/2020,
199-H3-32,577709.81,153063.5,Monitoring,,4/8/2019,
199-H3-33,577857.16,152950.79,Extraction- HX,,5/24/2021,
199-H3-34,577552.95,153178.11,Monitoring,,9/8/2021,
199-H3-35,577910.51,153052.06,Extraction- HX,,5/3/2022,
199-H3-36,577949.24,153013.72,Extraction- HX,,5/9/2022,
199-H3-37,578182,152665,Extraction- HX,,6/13/2022,
199-H3-38,578010.09,152687,Extraction- HX,,6/13/2022,
199-H3-39,578127.76,152636.89,Extraction- HX,,7/6/2022,
199-H3-9,578039.12,152913.6,Extraction- HX,,2/10/2011,
199-H4-12C,578011.772,152919.812,Extraction- HX,,10/3/1986,
199-H4-15CP,577907.681,153059.983,Monitoring,,12/17/1986,Basalt confined
199-H4-15CQ,577907.681,153059.983,Monitoring,,12/17/1986,Well screened in Ringold Unit A
199-H4-15CR,577907.681,153059.983,Monitoring,,12/17/1986,Well screened in Ringold Unit B
199-H4-15CS,577907.681,153059.983,Monitoring,,12/17/1986,Screened in RUM-2 aquifer; separate maps for Cr(VI) and nitrate
199-H4-2,578093.55,152501.47,Monitoring,,5/1/1952,Basalt confined
199-H4-90,577922.94,152592.59,Monitoring,,9/16/2013,
199-H4-91,578126.58,152524.1,Monitoring,,9/9/2013,
199-H4-94,577243.91,153068.67,Monitoring,,9/24/2020,
199-H4-95,577468.27,153034.59,Monitoring,,8/18/2021,
199-H4-97,578093.7,152546.5,Monitoring,,9/26/2024,
199-H6-9,578240.37,152235.5,Monitoring,,5/1/2019,
199-H7-1,575643.15,153389.04,Monitoring,,8/18/2022,
699-95-45C,576257.19,152576.18,Monitoring,,10/20/2020,
699-95-46,576257.19,152576.18,Monitoring,,9/30/2020,
699-95-48B,575235.98,152338.99,Monitoring,,9/24/2020,
699-95-48C,575231.7,152573.73,Monitoring,,10/9/2007,
699-96-42B,577211.44,152701.82,Monitoring,,1/11/2008,
699-97-43C,576857.31,152980.67,Monitoring,,9/30/2020,
699-97-45B,576049.34,152979.41,Monitoring,,9/27/2007,
699-97-47D,575687.52,152937.65,Monitoring,,5/27/2015,
699-97-48C,575245.39,152909.66,Extraction- DX,,5/27/2015,
699-97-60,575682.05,152794.99,Monitoring,,12/29/2020,
699-97-61,574891.51,152914.15,Monitoring,,5/27/2015,
699-98-50,574812.5,153319.89,Monitoring,,12/29/2020,
199-K-13,569037.72,146682.13,,Unclear which part of the unconfined aquifer well is screened,,
199-K-192,569393.17,147294.32,,Well screened in RUM aquifer.,,
199-K-32B,569012.4,147004.81,,Well screened in RUM aquifer.,,
199-B2-12,565368.62,145363.94,,"hpham added, 7/31/2024",,
199-B2-15,565092.32,145230.48,,"hpham added, 7/31/2024",,
199-F5-43B,581170.92,147960.382,,"hpham added, 7/31/2024",,
199-N-80,571477.575,149950.848,,"hpham added, 7/31/2024",,
199-H3-40,578426.006,152285.005,,"PROPOSED SITE, AWAITING DRILLING",,Information provided by JH through email on 080124
199-H3-41,578295.005,152355,,"PROPOSED SITE, AWAITING DRILLING",,Information provided by JH through email on 080124
199-H6-10,578364.998,152185.003,,"PROPOSED SITE, AWAITING DRILLING",,Information provided by JH through email on 080124
199-H6-11,578544.993,152185,,"PROPOSED SITE, AWAITING DRILLING",,Information provided by JH through email on 080124
