NAME,XCOORDS,YCOORDS,ZCOORDS,N_GAUGE,H_GAUGE,F_GAUGE,D_GAUGE,B_GAUGE,K_GAUGE,300_GAUGE,PRD_GAUGE,STAGE
199-D2-6,573000.21,151119.86,144.04,2609.7545066616262,5129.3074341588035,8506.1949893945,657.146020683374,10062.901524842415,5855.009502519983,41410.43985040126,25237.51065991516,D_GAUGE
199-D5-13,573535.527,151955.183,144.713,3567.434447961838,4296.625898504352,8352.566128620445,787.539727364888,10991.391127702193,6822.699153793725,41853.74572469252,25989.70861838972,D_GAUGE
199-D5-14,573789.632,151787.99,144.781,3643.9119917885882,4126.594430958833,8050.266099896564,1012.4452381852155,11094.212229974519,6887.734059499061,41581.652739970836,26183.38230586078,D_GAUGE
199-D5-15,573738.61,151673.75,144.733,3532.049226319013,4221.073111820786,8045.14220904142,962.3866375838396,10985.789513119955,6772.620796449447,41508.37106120404,26101.60460601732,D_GAUGE
199-D5-16,573917.45,151652.51,145.152,3660.2213114865845,4069.98708683659,7875.280983107866,1142.2866835430762,11119.011080545604,6891.100981098686,41400.429066407065,26266.96521076036,D_GAUGE
199-D5-17,573730.52,151322.83,144.112,3316.3768412864174,4390.795888705853,7905.195519365684,1038.876396160777,10777.418574424804,6533.7527031561085,41209.397444506496,25995.484248836103,D_GAUGE
199-D5-18,573861.7,151325.18,143.256,3426.904399215204,4276.057681062859,7786.173775436834,1159.4493165291256,10887.290044978856,6635.631680292324,41145.19160196488,26122.306101289578,D_GAUGE
199-D5-19,573849.12,151243.19,142.685,3372.2311189212396,4328.944161242592,7764.647828163215,1179.709235744105,10831.218601041925,6573.785488225155,41080.73254568984,26087.940877322093,D_GAUGE
199-D5-20,573239.97,152030.15,143.733,3418.868721905052,4549.171429891007,8650.09868765091,546.0234326473068,10805.810992491774,6674.469843073635,42067.76159416378,25730.498390462628,D_GAUGE
199-D8-4,573447.185,152090.212,143.873,3602.39848915415,4333.659176211353,8493.089607482532,755.6566126284091,11005.084738096592,6859.053214261369,42014.886103560566,25946.163320940355,D_GAUGE
199-D8-5,573537.146,152243.497,138.922,3776.033269693685,4200.524708642684,8486.343879041517,911.4702769508664,11171.073687334121,7032.5341659464575,42102.37571558554,26078.759683077933,D_GAUGE
199-D8-53,573889.86,152452.26,133.96,4169.836075943606,3802.850397638115,8285.552599682169,1320.939939588446,11576.906157103309,7426.29626732597,42108.82228425774,26478.827929094456,D_GAUGE
199-D8-54A,573781.17,152408.03,135.178,4062.7211858089686,3919.5162204506796,8356.019331888783,1205.7771108293741,11464.37035999175,7319.375857851548,42123.88738720345,26361.767140333883,D_GAUGE
199-D8-54B,573768.24,152398.65,135.887,4047.0219524461095,3934.5411564293463,8362.37961162968,1189.8153090710864,11448.414458854832,7303.680508236893,42122.12078540324,26346.559263843403,D_GAUGE
199-D8-55,573620.954,152364.345,136.481,3921.819910673355,4085.5648819615008,8472.467091967976,1049.5972141450286,11312.19594323976,7178.173075056143,42165.34378210546,26195.91558502222,D_GAUGE
199-D8-6,573434.693,152060.822,146.244,3572.4079216583887,4355.056628720872,8490.58469169073,731.1980961223296,10977.028220109161,6829.072394642794,41995.78045201605,25925.334286053923,D_GAUGE
199-H3-2A,577624.63,152750.04,128.314,7408.00981248005,746.904981343672,5687.958757937678,4950.684778179664,14832.79733013423,10522.141729942607,40674.70853661401,30133.1979514553,H_GAUGE
199-H3-2B,577628.271,152757.164,128.716,7414.439548320213,740.2076476401802,5691.581049516657,4955.7085572919095,14839.544007175573,10529.046604689116,40679.66560150585,30138.711746553137,H_GAUGE
199-H3-2C,577632.065,152750.302,128.662,7414.786986040719,747.4486198669434,5683.799133237313,4958.016603367542,14839.342581576328,10528.548580679457,40671.84666598544,30140.401614620943,H_GAUGE
199-H4-10,577827.209,153155.813,124.462,7774.654925644801,438.04126747374414,5910.577872571315,5243.988800484804,15214.908897593165,10913.822750410138,40960.55713913873,30444.420475400708,H_GAUGE
