KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,n_cens,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
17-D__ITER1,17-D,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
17-D__ITER2,17-D,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
17-D__ITER3,17-D,3,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
18-S__ITER1,18-S,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
19-M__ITER1,19-M,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D1-1__ITER1,199-D1-1,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,21.0,0.0055926373313431865,11.0,35.160654306717134,36.576754708921555,0.4113923361919873,33.384238445633954,41.45482444127734,43.533262923835906,34.09228864673616,42.16287464237955,44.24131312493812,-15.580327153358567,15.0,0.0,-6.941693195180539,-0.04270060859320483,0.0007045043918319616,-1.525901178444529,0.6350667768885262,0.0008748876216908044,4,4,INTERP+EVENT,True
199-D11-1__ITER1,199-D11-1,1,Trend_Summary,Tobit,log(VAL)~EVENT,EVENT,log,0.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D11-2__ITER1,199-D11-2,1,Trend_Summary,Tobit,log(VAL)~EVENT,EVENT,log,0.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D11-3__ITER1,199-D11-3,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,1.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D2-10__ITER1,199-D2-10,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,28.0,0.06229553260705201,8.0,31.458657146012932,32.428470445588935,0.368667499503148,33.96686983555814,29.462936892972156,35.01038827303659,34.451776485346144,29.947843542760157,35.49529492282459,-13.729328573006466,12.0,0.0,40.196878140890746,-0.328847545489971,7.69307698418911e-06,-1.4212163069689523,0.01932930571391758,0.9478367697344805,4,4,INTERP+EVENT,True
199-D2-11__ITER1,199-D2-11,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,58.0,0.8851030476353252,26.0,89.05388409289083,91.85627885621514,0.3851221827212665,87.14549481824265,87.2188355353239,87.29798649838396,88.54669219990481,88.62003291698606,88.69918388004612,-42.52694204644541,30.0,1.0,3.2993446476016257,-0.024773399289527535,9.72330709819069e-05,-1.0136075765589556,0.7618322828238946,0.6843154862080106,4,4,INTERP+EVENT,True
199-D2-11__ITER2,199-D2-11,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,58.0,3.3947344935114643e-09,15.0,17.89030649372119,19.77918445205407,1.0,18.6827783560502,52.99544222514709,54.89238705764233,19.627217335216642,53.93988120431353,55.83682603680877,-6.945153246860595,19.0,0.0,-16.074311630603304,0.05713583895912279,0.0007449827883309874,-2.245601025844261,0.0828513560881056,8.154893487823097e-27,4,4,INTERP+EVENT,True
199-D2-11__ITER3,199-D2-11,3,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,58.0,0.5712738257480499,21.0,59.57811296383081,62.01586461356721,0.3686641669856773,57.58237463199254,58.67729627320441,58.69788622293204,58.80125045686074,59.89617209807261,59.91676204780024,-27.789056481915406,25.0,12.0,7.219897146997067,-0.020377071627516667,-0.00022902834649825835,0.03315951827392266,0.9480863536966535,0.2794016952965933,4,4,INTERP+EVENT,True
199-D2-12__ITER1,199-D2-12,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,52.0,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
