"KEY","p_trend","COD","AIC","BIC","df","LAG","SUM_rows","SUM_cols","coef1","CLASS"
"199-D1-1",3.40904694517974e-06,NA,NA,NA,24,21,3,4,126.635948763419,"Trend_Summary"
"199-D11-1",2.38893727022571e-09,NA,NA,NA,13,9,3,4,74.3639651037479,"Trend_Summary"
"199-D11-2",9.63529431149412e-05,NA,NA,NA,5,7,3,4,97.3086320279618,"Trend_Summary"
"199-D11-3",1.13976757920575e-07,NA,NA,NA,6,1,3,4,35.6866864747735,"Trend_Summary"
"199-D2-10",1.24656041411431e-06,NA,NA,NA,10,28,3,4,80.6575076474434,"Trend_Summary"
"199-D2-11",0,NA,NA,NA,5426,58,3,4,88.4657014621683,"Trend_Summary"
"199-D2-12",0.000900172753871109,NA,NA,NA,13,52,3,4,86.8532244389751,"Trend_Summary"
"199-D2-14",3.58734153493856e-11,NA,NA,NA,24,48,3,4,140.84101705205,"Trend_Summary"
"199-D2-6",2.55351295663786e-15,NA,NA,NA,73,47,3,4,67.657336777467,"Trend_Summary"
"199-D3-2",0,NA,NA,NA,5639,7,3,4,41.7824408835974,"Trend_Summary"
"199-D3-5",0,NA,NA,NA,2661,15,3,4,56.2671737026236,"Trend_Summary"
"199-D3-7",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-1",2.23665230780767e-09,NA,NA,NA,23,4,3,4,80.8114366571142,"Trend_Summary"
"199-D4-101",0.00946380044604767,NA,NA,NA,5,32,3,4,99.7861048555156,"Trend_Summary"
"199-D4-102",5.83730647152336e-07,NA,NA,NA,14,22,3,4,67.5421634373717,"Trend_Summary"
"199-D4-103",9.58012550400511e-08,NA,NA,NA,8,55,3,4,59.3801200151613,"Trend_Summary"
"199-D4-13",0,NA,NA,NA,4773,20,3,4,51.424057668334,"Trend_Summary"
"199-D4-14",0,NA,NA,NA,2086,21,3,4,59.8612817822129,"Trend_Summary"
"199-D4-15",0,NA,NA,NA,5314,44,3,4,77.627028748983,"Trend_Summary"
"199-D4-17",0.249630878322768,NA,NA,NA,11,69,3,4,168.392391152023,"Trend_Summary"
"199-D4-18",0.018071480243077,NA,NA,NA,12,2,3,4,50.8391277029945,"Trend_Summary"
"199-D4-19",0,NA,NA,NA,4079,11,3,4,41.8569489167074,"Trend_Summary"
"199-D4-20",0,NA,NA,NA,5969,32,3,4,67.713648534826,"Trend_Summary"
"199-D4-21",0,NA,NA,NA,5950,16,3,4,64.5297218884695,"Trend_Summary"
"199-D4-22",0,NA,NA,NA,90,21,3,4,67.5878297603863,"Trend_Summary"
"199-D4-23",0,NA,NA,NA,4470,1,3,4,34.6233711759222,"Trend_Summary"
"199-D4-25",1.02698738402296e-09,NA,NA,NA,25,30,3,4,76.4046006693857,"Trend_Summary"
"199-D4-26",7.82401388121912e-09,NA,NA,NA,18,10,3,4,69.2289360161331,"Trend_Summary"
"199-D4-27",8.83061401779628e-11,NA,NA,NA,21,27,3,4,64.2163100831537,"Trend_Summary"
"199-D4-31",3.2192384313845e-09,NA,NA,NA,19,20,3,4,67.1360256118467,"Trend_Summary"
"199-D4-32",5.20713183682631e-09,NA,NA,NA,16,5,3,4,66.1272054731763,"Trend_Summary"
"199-D4-36",3.11306536104894e-13,NA,NA,NA,18,19,3,4,58.3907703845444,"Trend_Summary"
"199-D4-38",0,NA,NA,NA,882,1,3,4,54.8814994137801,"Trend_Summary"
"199-D4-39",1.53047574613652e-11,NA,NA,NA,20,23,3,4,71.9138127947486,"Trend_Summary"
"199-D4-4",1.79461667748626e-10,NA,NA,NA,15,20,3,4,55.8634259750687,"Trend_Summary"
"199-D4-48",1.32377882777757e-06,NA,NA,NA,21,6,3,4,65.1512460230753,"Trend_Summary"
"199-D4-5",1.3371913576421e-09,NA,NA,NA,17,11,3,4,51.2527715180373,"Trend_Summary"
"199-D4-50",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-55",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-56",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-6",1.11022302462516e-16,NA,NA,NA,33,16,3,4,46.1482580502233,"Trend_Summary"
"199-D4-60",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-62",1.76949294683482e-06,NA,NA,NA,27,25,3,4,54.6388216564075,"Trend_Summary"
"199-D4-65",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-68",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-7",0,NA,NA,NA,55,18,3,4,58.2840383627438,"Trend_Summary"
"199-D4-77",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
"199-D4-78",4.21324086730124e-11,NA,NA,NA,22,7,3,4,39.0747231957669,"Trend_Summary"
"199-D4-82",NA,NA,NA,NA,NA,NA,1,1,NA,"Trend_Summary"
