Name,XCoords,YCoords,Distance,OU,System,Model,Lag,Analyte,Trend,Mean,UCL,LCL,STD,Mean_Exceed,UCL_Exceed,Trend_Break,Use_RiverStage,RiverStage_Coeff,RiverStage_Coeff_stderror,Date_Coeff,Date_Coeff_stderror,Intercept,Intercept_stderror,Transformation,N,PND
17-D,568480.003,146895.929,23.19703631,100-KR-4,NA,Tobit,NA,Hex. & Filt. Chromium,NA,4.53,NA,NA,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,22,55%
18-S,568712.6,147064.32,18.29887467,100-KR-4,KX_KW_KR4,Tobit,NA,Hex. & Filt. Chromium,NA,NA,NA,NA,10,NA,NA,01/04/2009,NA,NA,NA,NA,NA,NA,NA,log,12,92%
19-M,569031.891,147394.208,14.85453829,100-KR-4,KX_KW_KR4,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,10,FALSE,NA,01/04/2009,NA,NA,NA,NA,NA,NA,NA,log,16,100%
199-D1-1,573381.29,151558.09,617.3349789,100-HR-3-D,NA,Tobit,21,Hex. & Filt. Chromium,Increasing,8.167267029,10.05649679,6.632951025,48,FALSE,FALSE,NA,TRUE,-0.042700606,0.089969056,0.000704504,0.000211691,-6.941693618,12.73373277,log,15,0%
199-D11-1,574429.62,152988.34,453.0140864,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,12,83%
199-D11-2,575081.55,153367.05,948.8243895,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,2.625,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,8,100%
199-D11-3,574113.93,153022.48,143.0781714,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,2.5,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,9,100%
199-D2-10,574470.87,153465.19,338.9687719,100-HR-3-D,NA,Tobit,28,Hex. & Filt. Chromium,Not Significant,7.281892986,10.52447822,5.038346256,48,FALSE,FALSE,NA,TRUE,-0.328847546,0.140581281,7.69E-06,0.000117585,40.19687823,17.4997,log,12,0%
199-D2-11,573328.16,151120.73,878.5139128,100-HR-3-D,DX,Tobit,NA,Hex. & Filt. Chromium,NA,3.3,NA,NA,48,FALSE,NA,01/01/2011,NA,NA,NA,NA,NA,NA,NA,log,76,17%
199-D2-12,574343.45,153300.01,271.3331801,100-HR-3-D,NA,Tobit,52,Hex. & Filt. Chromium,Not Significant,4.824742777,7.165670759,3.248564391,48,FALSE,FALSE,NA,TRUE,-0.224898531,0.122945556,-0.00014444,0.000126242,30.68808895,15.50131466,log,15,0%
199-D2-14,573504.05,151518.91,733.5630442,100-HR-3-D,NA,Tobit,48,Hex. & Filt. Chromium,Increasing,38.60761986,99.15487967,15.03252604,48,FALSE,TRUE,NA,TRUE,0.088387321,0.269036391,0.003809201,0.001129984,-82.48487745,43.81468264,log,17,6%
199-D3-2,572453.955,151165.653,204.6460867,100-HR-3-D,DX,Tobit,7,Hex. & Filt. Chromium,Decreasing,6.441229197,7.606843404,5.45422475,48,FALSE,FALSE,01/01/2011,TRUE,0.110532406,0.085068038,-0.000114289,3.90E-05,-8.759367997,10.44260562,log,36,14%
199-D3-5,572787.66,150994.54,571.5605642,100-HR-3-D,DX,Tobit,15,Hex. & Filt. Chromium,Decreasing,3.382912198,6.047976738,1.892218742,48,FALSE,FALSE,01/01/2011,TRUE,-0.104308445,0.131013648,-0.000274728,9.58E-05,18.8580867,16.27810508,log,27,7%
199-D3-7,573001.56,150757.99,887.3210396,100-HR-3-D,NA,Tobit,NA,Hex. & Filt. Chromium,NA,5.56375,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,5,0%
