Name,XCoords,YCoords,Distance,OU,System,Model,Lag,Analyte,Trend,Mean,UCL,LCL,STD,Mean_Exceed,UCL_Exceed,Trend_Break,Use_RiverStage,RiverStage_Coeff,RiverStage_Coeff_stderror,Date_Coeff,Date_Coeff_stderror,Intercept,Intercept_stderror,Transformation,N,PND
199-D2-11,573328.16,151120.73,878.5139128,100-HR-3-D,DX,Tobit,58,Nitrate,Decreasing,16.84892695,17.9644198,15.80270014,48,FALSE,FALSE,NA,TRUE,0.02137993,0.0295936,-0.00011573,1.38E-05,2.633778001,3.307664502,log,20,0%
199-D2-14,573504.05,151518.91,733.5630442,100-HR-3-D,NA,Tobit,48,Nitrate,Increasing,20.99972533,22.26571993,19.80571325,48,FALSE,FALSE,NA,TRUE,0.028486495,0.008509695,0.000415318,6.55E-05,-8.546417902,1.634212353,log,9,0%
199-D2-6,573000.21,151119.86,640.3713823,100-HR-3-D,DX,Tobit,47,Nitrate,Decreasing,12.35327228,16.93083553,9.013337564,48,FALSE,FALSE,NA,TRUE,0.000868902,0.05510579,-0.000349918,4.80E-05,9.378005006,6.990682897,log,25,0%
199-D5-103,573505.87,151460.87,774.680468,100-HR-3-D,DX,Tobit,66,Nitrate,Decreasing,19.16223152,21.00656262,17.47982874,48,FALSE,FALSE,NA,TRUE,-0.02060466,0.030970979,-0.000117421,3.02E-05,7.69411682,3.650821867,log,28,0%
199-D5-104,573265.48,151422.43,626.0375012,100-HR-3-D,DX,Tobit,44,Nitrate,Decreasing,17.88264437,18.79448824,17.01504003,48,FALSE,FALSE,NA,TRUE,-0.010217964,0.012756026,-0.000183017,8.11E-06,7.719099541,1.535884399,log,62,0%
199-D5-106,573503.74,151597.97,677.8288598,100-HR-3-D,DX,Tobit,55,Nitrate,Decreasing,15.68274009,16.82388463,14.61899805,48,FALSE,FALSE,NA,TRUE,-0.018649072,0.019934116,-0.000158835,9.86E-06,8.090010407,2.379006863,log,12,0%
199-D5-133,573731.55,151497.37,895.9699124,100-HR-3-D,DX,Tobit,NA,Nitrate,NA,22.4,NA,NA,48,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,24,0%
199-D5-141,573243.43,151424.51,608.5596206,100-HR-3-D,DX,Tobit,NA,Nitrate,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,log,12,83%
199-D5-142,573791.87,151563.26,880.1578091,100-HR-3-D,DX,Tobit,54,Nitrate,Decreasing,19.05193217,23.13265528,15.69107027,48,FALSE,FALSE,NA,TRUE,0.035642977,0.058020419,-0.000154782,2.95E-05,1.86992456,7.049930729,log,14,0%
199-D5-151,573312.03,151391.88,680.8699127,100-HR-3-D,NA,Tobit,66,Nitrate,Increasing,21.09574678,23.25244756,19.13908335,48,FALSE,FALSE,NA,TRUE,0.029416016,0.012249108,0.000402673,0.000110338,-8.39826829,2.720821863,log,28,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
